inches,battery,ram(GB),weight(g),storage(GB),price(USD),brand_encoded,os_encoded,battery_type_encoded,video_720p_encoded,video_1080p_encoded,video_4K_encoded,video_8K_encoded,video_30fps_encoded,video_60fps_encoded,video_120fps_encoded,video_240fps_encoded,video_480fps_encoded,video_960fps_encoded,resolution_encoded
5.0,2200,2,140.0,16,120.0,3,8,1,1,0,0,0,1,0,0,0,0,0,71
5.3,2700,2,140.0,16,100.0,4,12,0,0,1,0,0,1,0,0,0,0,0,71
5.2,3000,4,147.0,16,420.0,3,12,0,0,1,0,0,1,0,0,0,0,0,0
5.5,4100,4,165.0,32,150.0,12,10,1,1,1,0,0,1,0,1,0,0,0,0
5.1,3200,4,145.0,32,420.0,3,12,0,1,1,1,0,1,1,0,0,0,0,0
5.0,2300,3,143.0,32,140.0,10,12,0,0,1,0,0,1,0,0,0,0,0,71
5.2,3000,4,146.0,32,420.0,3,12,1,0,1,0,0,1,0,0,0,0,0,0
5.5,3750,6,165.0,64,170.0,3,12,0,1,1,1,0,1,1,0,0,0,0,43
6.0,2700,4,188.0,32,250.0,10,12,0,0,1,0,0,1,0,0,0,0,0,0
5.5,4500,2,164.0,16,170.0,4,12,0,1,1,0,0,1,0,0,0,0,0,71
5.5,4100,4,165.0,16,130.0,12,10,1,1,1,0,0,1,0,1,0,0,0,0
5.2,2900,4,161.0,32,220.0,10,14,0,1,1,1,0,1,1,0,0,0,1,0
5.46,3230,4,195.0,64,320.0,10,14,0,1,1,1,0,1,1,0,0,0,1,66
5.5,2620,2,180.0,16,110.0,10,12,0,0,1,0,0,1,0,0,0,0,0,71
5.2,2900,3,147.0,32,250.0,7,8,0,0,1,0,0,1,0,0,0,0,0,71
6.0,4000,6,185.0,64,250.0,7,9,0,1,1,1,0,1,0,0,0,0,0,0
5.0,2800,2,172.0,16,350.0,9,12,0,0,1,0,0,1,0,0,0,0,0,71
5.5,3300,2,167.0,16,170.0,9,13,0,0,1,0,0,1,0,0,0,0,0,71
6.2,3500,6,173.0,64,350.0,9,12,0,1,1,1,0,1,1,1,1,0,0,45
5.0,2500,2,143.0,8,170.0,4,11,0,1,0,0,0,1,0,0,0,0,0,68
5.0,3000,2,150.0,16,280.0,3,10,0,0,1,0,0,1,0,0,0,0,0,71
5.3,2800,5,141.0,16,160.0,4,12,0,0,1,0,0,1,0,0,0,0,0,71
5.15,3350,6,168.0,64,330.0,12,15,1,1,1,1,0,1,0,1,0,0,0,0
5.0,3000,2,150.0,16,240.0,3,10,0,0,1,0,0,1,0,0,0,0,0,71
5.5,4000,2,165.0,16,90.0,3,12,0,0,1,0,0,1,0,0,0,0,0,71
5.5,3340,4,169.0,64,160.0,3,12,1,0,1,0,0,1,0,0,0,0,0,0
5.0,2950,4,143.0,64,140.0,3,12,1,0,1,0,0,1,0,0,0,0,0,0
5.0,2200,1,175.0,8,230.0,3,10,0,1,0,0,0,1,0,0,0,0,0,68
4.5,2050,1,143.0,8,240.0,9,25,0,1,0,0,0,1,0,0,0,0,0,67
6.44,5300,4,211.0,32,200.0,12,15,0,1,1,1,0,1,0,1,0,0,0,0
5.0,4100,4,150.0,16,110.0,12,11,1,0,1,0,0,1,0,0,0,0,0,71
5.7,3080,2,150.0,32,90.0,4,12,0,0,1,0,0,1,0,0,0,0,0,0
5.5,3200,4,153.0,64,250.0,7,9,0,0,1,0,0,1,0,0,0,0,0,0
5.2,4100,2,166.0,32,180.0,4,12,0,0,1,0,0,1,0,0,0,0,0,0
5.5,3200,4,153.0,64,250.0,7,9,0,0,1,0,0,1,0,0,0,0,0,0
5.5,3000,6,150.0,64,250.0,7,15,1,1,1,1,0,1,0,0,0,0,0,0
6.0,4000,6,188.0,64,250.0,7,15,1,1,1,1,0,1,0,0,0,0,0,0
5.7,3300,4,179.0,32,200.0,9,12,0,0,1,0,0,1,0,0,0,0,0,0
5.5,3600,3,181.0,16,130.0,9,12,0,0,1,0,0,1,0,0,0,0,0,0
5.5,3600,3,181.0,16,200.0,9,12,0,0,1,0,0,1,0,0,0,0,0,0
5.2,3000,3,160.0,16,80.0,9,12,0,0,1,0,0,1,0,0,0,0,0,71
5.5,4000,3,165.0,32,130.0,3,12,0,0,1,0,0,1,0,0,0,0,0,71
5.5,3200,4,148.0,64,250.0,7,14,0,0,1,0,0,1,0,0,0,0,0,0
5.2,3000,4,146.0,32,110.0,4,12,0,1,1,1,0,1,1,1,0,0,0,43
5.5,3000,4,149.0,16,200.0,4,15,1,0,1,0,0,1,0,0,0,0,0,1
3.8,1950,3,165.0,16,430.0,9,10,0,0,1,0,0,1,0,0,0,0,0,67
5.7,3200,4,167.0,64,200.0,9,15,0,1,1,1,0,1,1,1,1,0,0,43
5.0,3020,2,145.0,16,250.0,3,12,0,0,1,0,0,1,0,0,0,0,0,71
4.6,2700,4,140.0,32,300.0,10,17,0,1,1,1,0,1,1,0,0,0,1,71
5.8,4000,4,208.0,64,500.0,9,12,0,1,1,1,0,1,1,1,1,0,0,45
5.5,3430,4,189.0,32,150.0,10,12,0,0,1,0,0,1,0,0,0,0,0,0
5.5,4000,4,180.0,32,200.0,5,15,1,0,1,0,0,1,0,0,0,0,0,0
6.3,3300,6,195.0,64,210.0,9,15,0,1,1,1,0,1,1,1,1,0,0,45
6.0,3300,4,158.0,64,200.0,4,16,1,1,1,1,0,1,1,1,0,0,0,44
5.2,2700,4,155.0,64,260.0,10,17,0,1,1,1,0,1,1,0,0,0,1,0
5.5,3080,4,165.0,32,170.0,12,16,1,1,1,1,0,1,0,1,0,0,0,0
5.2,3000,3,137.0,16,480.0,7,14,0,0,1,0,0,1,0,0,0,0,0,71
5.99,3400,8,185.0,64,410.0,12,14,0,1,1,1,0,1,0,1,0,0,0,1
5.5,3500,6,163.0,64,280.0,12,14,0,1,1,1,0,1,0,1,0,0,0,0
5.2,4000,3,165.0,32,200.0,5,15,1,0,1,0,0,1,0,0,0,0,0,71
5.5,3000,4,180.0,32,550.0,9,14,0,0,1,0,0,1,0,0,0,0,0,0
5.2,4000,4,165.0,32,180.0,5,15,1,0,1,0,0,1,0,0,0,0,0,0
4.7,1821,2,148.0,64,210.0,0,26,0,1,1,1,0,1,1,1,1,0,0,82
5.8,2716,3,174.0,64,280.0,0,27,0,1,1,1,0,1,1,1,1,0,0,21
6.01,3200,4,153.0,64,260.0,7,15,1,1,1,1,0,1,0,0,0,0,0,1
6.0,3200,6,152.0,32,150.0,7,15,0,0,1,0,0,1,0,0,0,0,0,1
5.2,2620,3,154.0,16,168.0,10,14,0,0,1,0,0,1,0,0,0,0,0,71
6.0,4000,6,178.0,64,150.0,3,17,1,1,1,1,0,1,1,0,0,0,0,1
5.9,4000,4,186.0,64,180.0,3,17,1,1,1,1,0,1,1,0,0,0,0,43
4.7,2000,1,130.0,8,500.0,9,12,0,1,0,0,0,1,0,0,0,0,0,70
5.9,3340,4,164.0,64,300.0,3,12,0,0,1,0,0,1,0,0,0,0,0,1
6.0,4000,6,178.0,256,190.0,3,17,1,1,1,1,0,1,1,0,0,0,0,1
5.0,2700,4,143.0,64,610.0,1,17,0,1,1,1,0,1,1,1,1,0,0,0
6.0,3520,4,175.0,64,520.0,1,17,0,1,1,1,0,1,1,1,1,0,0,44
5.5,3080,4,153.0,32,140.0,12,16,0,0,1,0,0,1,0,0,0,0,0,71
6.0,3200,4,152.0,32,400.0,7,14,0,0,1,0,0,1,0,0,0,0,0,1
6.43,4000,6,182.0,64,310.0,7,15,1,1,1,1,0,1,0,0,0,0,0,1
5.5,3080,2,150.0,16,90.0,12,12,0,0,1,0,0,1,0,0,0,0,0,71
10.1,7000,2,500.0,32,170.0,5,12,0,0,1,0,0,1,0,0,0,0,0,25
5.0,3000,3,137.0,16,100.0,12,16,0,0,1,0,0,1,0,0,0,0,0,71
6.0,3340,6,169.0,64,230.0,3,17,1,1,1,1,0,1,0,0,0,0,0,1
5.7,3300,4,157.0,16,160.0,12,16,1,0,1,0,0,1,0,0,0,0,0,72
5.7,3000,3,153.0,16,200.0,5,12,0,0,1,0,0,1,0,0,0,0,0,72
5.65,3000,4,143.0,32,450.0,3,17,1,0,1,0,0,1,0,0,0,0,0,1
5.6,3000,4,172.0,32,230.0,9,15,0,0,1,0,0,1,0,0,0,0,0,2
6.0,3500,6,191.0,32,120.0,9,15,0,0,1,0,0,1,0,0,0,0,0,2
5.65,3000,4,149.0,32,190.0,2,17,1,0,1,0,0,1,0,0,0,0,0,1
6.0,3580,4,221.0,32,260.0,10,17,0,1,1,1,0,1,0,0,0,0,0,0
5.7,3180,4,143.0,16,500.0,7,14,0,0,1,0,0,1,0,0,0,0,0,72
5.2,3300,3,171.0,32,200.0,10,17,0,1,1,1,0,1,0,0,0,0,0,0
5.0,2410,2,139.0,16,200.0,4,16,0,0,1,0,0,1,0,0,0,0,0,71
5.3,3000,2,172.0,32,500.0,4,12,0,0,1,0,0,1,0,0,0,0,0,71
5.0,2600,2,153.0,16,250.0,9,14,0,0,1,0,0,1,0,0,0,0,0,70
5.5,3300,3,178.0,32,140.0,10,15,0,0,1,0,0,1,0,0,0,0,0,71
5.0,2870,4,168.0,64,430.0,10,17,0,1,1,1,0,1,1,0,0,0,1,1
6.0,3300,6,158.0,128,100.0,4,17,1,1,1,1,0,1,1,1,0,0,0,44
